,ground,building,signage,bollard,trash can,barrier,pedestrian,car,vegetation
ground,0.9801586916035153,0.001265061846776048,0.00044460687459885526,0.00011684009573414071,0.0020493105064158666,0.0012387375323853424,5.8295484865221585e-05,0.008496442356104198,0.006172013699605027
building,0.006989182511014827,0.8332099539304785,0.004615571328656454,1.6126209274544404e-05,0.0035260790693064157,0.1021454948306463,0.00017224459733759066,0.004429841883908253,0.04489550563937709
signage,0.0002820592142376212,0.24671082561461613,0.6656051534948046,9.098684330245847e-06,0.005177151383909887,0.017360289702109077,2.7296052990737538e-05,0.0028296908267064582,0.0619984350262952
bollard,0.16607289668402303,0.0,0.6949849273773636,0.09331323650315154,0.009043573581803233,0.004110715264456015,0.0,0.0012332145793368045,0.031241436009865717
trash can,0.04625275057168745,0.003443068559347629,0.039763558700435776,0.014445355309142685,0.4954394442766536,0.1327522975363507,0.019407170902187514,0.12689304051430297,0.1216033136298917
barrier,0.0008391404283264621,0.07928052829362618,0.12441168959101025,1.8242183224488308e-05,0.024645189536283703,0.4412054434674742,9.121091612244153e-05,0.02510124411689591,0.30440731146703637
pedestrian,0.0029377726342027953,0.0007121873052612837,0.1330900026707024,0.0,0.015490073889432921,0.08492833615240808,0.10914270453129173,0.08608564052345767,0.5676132822932431
car,0.002958007712365874,0.0014004784210806397,0.0006165220111337386,2.5958821521420572e-06,0.00545135251949832,0.024158577248910053,0.00018820145603029914,0.9246791814145221,0.040545083334306786
vegetation,0.07248120431851147,0.005259194600008064,0.0197486789352147,0.0013436773605076551,0.021394220552705828,0.02838722754571282,0.0005634072955251076,0.032804035609084695,0.8180183537827297
