Feature,Importance
HeightVariance_radius6,0.04366312822285023
HeightRange_radius6,0.03966073477385483
count_radius5,0.03796470724265046
count_radius6,0.03764203089964834
verticality2_radius5,0.0370841550290716
HeightRange_radius5,0.03392618010216959
verticality2_radius6,0.03231422793164794
HeightVariance_radius4,0.03081078308244004
sphericity_radius4,0.028812820935074198
verticality2_radius4,0.028703026806516027
curvature_radius5,0.02742458744457053
curvature_radius4,0.025168646725486143
HeightVariance_radius5,0.02331207586880748
sphericity_radius5,0.022768585864360508
curvature_radius6,0.022530202806306486
omnivariance_radius4,0.018753667182338955
HeightRange_radius3,0.018098538357146345
verticality2_radius3,0.01802167249395594
entropy_radius4,0.017447965355293645
curvature_radius3,0.017294491831181633
count_radius4,0.017129753773413577
omnivariance_radius5,0.01691787855570825
sphericity_radius6,0.016629233764672936
planarity_radius3,0.016512139022481873
HeightVariance_radius3,0.016182602915297665
planarity_radius5,0.015698705177405587
HeightRange_radius4,0.015422308009037006
entropy_radius5,0.015184505288634194
verticality2_radius2,0.014671825926598901
omnivariance_radius6,0.013012582304688854
sphericity_radius3,0.012407155317436157
planarity_radius6,0.011751284349466984
planarity_radius4,0.011685783052828531
HeightVariance_radius2,0.010922652957396493
verticality2_radius1,0.010859363490240052
EigenSum_radius5,0.010581495108061535
count_radius1,0.010465987759146032
HeightRange_radius2,0.010448523537564485
verticality1_radius6,0.010087442906965465
verticality1_radius5,0.009684576614616762
entropy_radius3,0.009548290758389213
count_radius3,0.009304988421806343
EigenSum_radius6,0.008813734443450039
verticality1_radius4,0.008741940797646593
EigenSum_radius4,0.0084916265074895
linearity_radius5,0.008389510366257466
linearity_radius4,0.008319585609328033
count_radius2,0.008246040840927017
verticality1_radius2,0.007887077499388351
entropy_radius6,0.007774652412525233
EigenSum_radius3,0.0070704388820112055
verticality1_radius3,0.0069323089244845044
planarity_radius2,0.006381578834939841
omnivariance_radius3,0.006297932657983657
linearity_radius3,0.006283828707149829
linearity_radius6,0.0061464999117178485
curvature_radius2,0.004750666087754229
HeightRange_radius1,0.004063644381040633
sphericity_radius2,0.003996856923535181
linearity_radius2,0.003640539603429027
HeightVariance_radius1,0.003314667070440583
omnivariance_radius2,0.003088481892935279
EigenSum_radius2,0.00304743862207146
verticality1_radius1,0.0029137916536625323
curvature_radius1,0.002854322483554754
planarity_radius1,0.0026336779627703453
omnivariance_radius1,0.002532517184591858
sphericity_radius1,0.0024954213088224037
entropy_radius2,0.0024262161935810493
EigenSum_radius1,0.0020852286967187198
linearity_radius1,0.001988717915234842
entropy_radius1,0.0018797476573301896
