,ground,building,signage,bollard,trash can,barrier,pedestrian,car,vegetation
ground,0.9714191853098035,0.001115420160555066,0.0003036015565060543,6.46066769588923e-05,0.0023951804415492683,0.0007356690889188006,1.602710623787431e-05,0.01717474669490759,0.006775562964562906
building,0.007794519841423755,0.804939179862702,0.006142000447919365,2.3911275820876184e-05,0.005692134816777764,0.12427273924100328,0.00021283815861489208,0.0037044405046446956,0.04721823585109337
signage,0.0003002565828981129,0.1958400815242116,0.707067857987735,0.00010008552763270431,0.0017378487070769566,0.02731425035939803,0.00017287500227467108,0.00521354612123087,0.06225319818754208
bollard,0.10742669224445053,0.0,0.8063853110441217,0.05275417922718553,0.00959166895039737,0.0028775006851192108,0.0,0.004795834475198685,0.016168813373526995
trash can,0.06702334210639858,0.009241920869827846,0.021504077318030806,0.005332873106959486,0.43006428787159684,0.14013893083660525,0.002105535660352936,0.13890494887172627,0.18568408335850195
barrier,0.00029187493159181293,0.06891896822211682,0.09411142325513518,5.472654967346492e-05,0.04551424714509832,0.450800831843555,0.001131015359918275,0.03351089058338502,0.3056660221095261
pedestrian,0.0025816789815721534,0.0009792575447342652,0.1251669188996706,0.0,0.00952550520786967,0.08475028932609276,0.09196118579186326,0.11021098548918365,0.5748241787590136
car,0.006450767148073012,0.0006476725969594432,0.0004737484927659254,0.0,0.009179039289974314,0.036890081264090775,0.0003374646797784674,0.9007983635558913,0.045222862972466776
vegetation,0.06285424097485809,0.005395414932581833,0.011701871449417032,0.0008500148752603171,0.01806608538726351,0.018926997889129726,0.0028148569523043575,0.04808468763587978,0.8313058299033054
